Q,Q_1 Thème,Q_2 Thème,Q_3 Thème,Q_4 Thème
le systeme de facturation. plus de contrôle sur les factures.,FACTURATION,,,
traiter le plobleme la 1ere foid,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
avoir un numero d etelephone qui centralise et qui ensuite nous envoie sur le bon services car on a une liste de telephone pour ***** impressionte.,ORGANISATION-PROCESS,,,
.,IMPRESSIONS GENERALES,,,
la reponse tres rapide et tres claire.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
parce que le probleme a mis un an et demi a se regler.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
reponse a toutes mes questions.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
parce que je discutais sur le tchat mais la personne ne repondait pas a mes questions et au final j ai eu ce que je voulais mais nous avons discute environ 30/40 minutes.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
des le depart avoir un contact mail nominatif.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
rapidite dans le traitement de la demande,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
ils repondent a mes demandes et mes demarches mais par contre je reois des grosses factures depuis 3  ans sur lma periode de janvier alors que je suis ferme de novembre a fevrier donc je dois les appeler pour ce motif ,FACTURATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
"premieres factures reçus au bout de 3 mois... un peu plus de reactivite serait bien, surtout pour les entreprises...",FACTURATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
"parce qu ***** a fait une autre demande a ******, donc au final ****** n avait pas les bonnes consignes d *****. j ai dû rattraper le coup.",ORGANISATION-PROCESS,,,
j ai adresse plusieurs demandes certaines sont restes en souffrance.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
parce que la demande n etait pas integrale mais reactivite efficace.,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
"ameliorer son temps de retour, quand je reçois un mail sans ******************* ou pas d interlocuteur ce sont des mails genralistse, il faudrait personnaliser les reponses ",TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
parce que ça s est bien passe par habitude je ne donne jamais 10 ,IMPRESSIONS GENERALES,,,
rapidite et efficacite du conseille au telephone,RELATION CLIENTELE,,,
ras,IMPRESSIONS GENERALES,,,
******* rapide et demande reglee ,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
l interlocuteur s est investi pour repondre precisement a la question posee. ,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
une meilleure communication et information de son personnel sur les contrats.,ORGANISATION-PROCESS,,,
conforme a la demande,IMPRESSIONS GENERALES,,,
"la facture s avere bien plus elevee que prevu par les commerciaux et les conseilles. nous nous sommes fait avoir comme des bleus, c est extrêmement gênant et intolerable. je reclame une resolution d urgence !",CONTRAT,,,
,IMPRESSIONS GENERALES,,,
car attente avant d avoir un tarif,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"ca a ete tres rapide, tres aimable , a l ecoute.",RELATION CLIENTELE,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,
rien a dire,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
juste de faire realiser par la même personne le suivi d une relance avoir un referent quelqu un qui puisse nous aider,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
c est une histoire sans fin on nous rappelle des factures que l on paye d autres qui se sont perdues mais j espere qu on arrive au bout.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
on me facture des frais de resiliation alors que je n4ai pas resilie mon conntrat  c est un comble ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
raccourcir les delais de reponse aux demandes d intervention.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
est-ce qu on peut avoir les factures par internet avec un profil? ,FACTURATION,ESPACE CLIENT,ORGANISATION-PROCESS,
"on a un site grdf a rattacher chez ***** et depuis presque deux ans on essaye de le rattacher mais y arrive pas.beaucoup de problemes d efacturations et de suivi d econtrat et nous n avons pas d interlocuteur privilegie. le numero de compte n apparait aps sur les factures, ce qui est un souci pour nous. le suivi dans les modifications de contrats? c4est pas terrible;",ORGANISATION-PROCESS,,,
le probleme n est pas resolue impossibilite de joindre une personne le vendredi,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
